# BEGIN PLOT
DrawOnly=/STAR_2009_I793126/d18-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d18-x01-y01
LegendOnly=/STAR_2009_I793126/d18-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d18-x01-y01
# END PLOT

# BEGIN HISTO2D /STAR_2009_I793126/d18-x01-y01
IsRef=1
Path=/STAR_2009_I793126/d18-x01-y01
Title=Data
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.500000e-02	2.500000e-02	1.000000e-10	1.000000e-10	1.000000e-10
5.000000e-02	1.000000e-01	7.500000e-02	7.500000e-02	1.000000e-10	1.000000e-10	1.000000e-10
1.000000e-01	1.500000e-01	1.250000e-01	1.250000e-01	1.851330e-01	2.016000e-03	2.016000e-03
1.500000e-01	2.000000e-01	1.750000e-01	1.750000e-01	6.681840e-01	2.298000e-03	2.298000e-03
2.000000e-01	2.500000e-01	2.250000e-01	2.250000e-01	7.348400e-01	2.152000e-03	2.152000e-03
2.500000e-01	3.000000e-01	2.750000e-01	2.750000e-01	7.579190e-01	2.149000e-03	2.149000e-03
3.000000e-01	3.500000e-01	3.250000e-01	3.250000e-01	7.764730e-01	2.230000e-03	2.230000e-03
3.500000e-01	4.000000e-01	3.750000e-01	3.750000e-01	8.003740e-01	2.309000e-03	2.309000e-03
4.000000e-01	4.500000e-01	4.250000e-01	4.250000e-01	8.133990e-01	2.452000e-03	2.452000e-03
4.500000e-01	5.000000e-01	4.750000e-01	4.750000e-01	8.196770e-01	2.639000e-03	2.639000e-03
5.000000e-01	5.500000e-01	5.250000e-01	5.250000e-01	8.275540e-01	2.869000e-03	2.869000e-03
5.500000e-01	6.000000e-01	5.750000e-01	5.750000e-01	8.254290e-01	3.208000e-03	3.208000e-03
6.000000e-01	6.500000e-01	6.250000e-01	6.250000e-01	8.298380e-01	3.528000e-03	3.528000e-03
6.500000e-01	7.000000e-01	6.750000e-01	6.750000e-01	8.362710e-01	3.848000e-03	3.848000e-03
7.000000e-01	7.500000e-01	7.250000e-01	7.250000e-01	8.376440e-01	4.291000e-03	4.291000e-03
7.500000e-01	8.000000e-01	7.750000e-01	7.750000e-01	8.489260e-01	4.658000e-03	4.658000e-03
8.000000e-01	8.500000e-01	8.250000e-01	8.250000e-01	8.361310e-01	5.362000e-03	5.362000e-03
8.500000e-01	9.000000e-01	8.750000e-01	8.750000e-01	8.221880e-01	6.120000e-03	6.120000e-03
9.000000e-01	9.500000e-01	9.250000e-01	9.250000e-01	8.310360e-01	6.710000e-03	6.710000e-03
9.500000e-01	1.000000e+00	9.750000e-01	9.750000e-01	8.379820e-01	7.203000e-03	7.203000e-03
1.000000e+00	1.050000e+00	1.025000e+00	1.025000e+00	8.354610e-01	8.062000e-03	8.062000e-03
1.050000e+00	1.100000e+00	1.075000e+00	1.075000e+00	8.673650e-01	8.181000e-03	8.181000e-03
1.100000e+00	1.150000e+00	1.125000e+00	1.125000e+00	8.227420e-01	9.877000e-03	9.877000e-03
1.150000e+00	1.200000e+00	1.175000e+00	1.175000e+00	8.384990e-01	1.051000e-02	1.051000e-02
1.200000e+00	1.250000e+00	1.225000e+00	1.225000e+00	8.404670e-01	1.142100e-02	1.142100e-02
1.250000e+00	1.300000e+00	1.275000e+00	1.275000e+00	8.452520e-01	1.238300e-02	1.238300e-02
1.300000e+00	1.350000e+00	1.325000e+00	1.325000e+00	8.670520e-01	1.290700e-02	1.290700e-02
1.350000e+00	1.400000e+00	1.375000e+00	1.375000e+00	8.103160e-01	1.599200e-02	1.599200e-02
1.400000e+00	1.450000e+00	1.425000e+00	1.425000e+00	8.758870e-01	1.388300e-02	1.388300e-02
1.450000e+00	1.500000e+00	1.475000e+00	1.475000e+00	8.548390e-01	1.581700e-02	1.581700e-02
1.500000e+00	1.550000e+00	1.525000e+00	1.525000e+00	8.708860e-01	1.687200e-02	1.687200e-02
1.550000e+00	1.600000e+00	1.575000e+00	1.575000e+00	8.429750e-01	1.909600e-02	1.909600e-02
1.600000e+00	1.650000e+00	1.625000e+00	1.625000e+00	8.263890e-01	2.232000e-02	2.232000e-02
1.650000e+00	1.700000e+00	1.675000e+00	1.675000e+00	8.693690e-01	2.261800e-02	2.261800e-02
1.700000e+00	1.750000e+00	1.725000e+00	1.725000e+00	8.243900e-01	2.657400e-02	2.657400e-02
1.750000e+00	1.800000e+00	1.775000e+00	1.775000e+00	8.833330e-01	2.072200e-02	2.072200e-02
1.800000e+00	1.850000e+00	1.825000e+00	1.825000e+00	9.044940e-01	2.203000e-02	2.203000e-02
1.850000e+00	1.900000e+00	1.875000e+00	1.875000e+00	8.848480e-01	2.485000e-02	2.485000e-02
1.900000e+00	1.950000e+00	1.925000e+00	1.925000e+00	8.297870e-01	3.165000e-02	3.165000e-02
1.950000e+00	2.000000e+00	1.975000e+00	1.975000e+00	7.950820e-01	3.654400e-02	3.654400e-02
# END HISTO2D

